id,comment,rating,review_date
128,vamos por partes instalaciones máquinas equipamiento no está mal aunque podrían poner alguna máquina más nunca sobran que el gym esté en según que horas muy lleno y dificulte entrenar pasa en este y todos los del mundo no parece motivo de crítica lo peor los monitores para empezar de sala no hay y si hay alguno abajo pasa de todo se puede ver a gente haciendo mal los ejercicios con el riesgo de lesión que ello conlleva y los monitores pasan de todo luego están los que llevan la camiseta de prácticas estos pasan aún mas son solo zombis en busca de pesas mal colocadas para ponerlas en su sitio no te hacen tablas no te hacen seguimiento solo algunos elegidos disfrutan de un tour en su primer día del gym a otros nos tocó gestionarnos solitos por lo demás diría que el ambiente es bueno ahora nos han subido la cuota 2€ desde el 1 1 2023 a ver si se notan esos 2€ y van destinados a que los monitores de sala hagan su trabajo,3,Hace 2 años
132,tiene buenas maquinas y clases el ambiente sería okay si no fuese por la música que te hace sentir que estás en un bershka,3,Hace un año
139,soy usuaria desde hace tiempo y desde que lo abrieron las duchas del baño de mujeres tienen muy poca presión y es imposible regular la temperatura de agua tengo muchas amigas usuarias de este gym con la misma protesta,3,Hace 11 meses
160,gran gimnasio moderno y bonito monitores geniales y clases colectivas de calidad lo malo que a las 6 de la tarde está masificado es imposible hacer pesas todas las máquinas ocupadas sala pequeña para tanta demanda el tema de cardio sin problema pero entrenar con mancuernas o máquinas un quebradero de cabeza pena tener qué cambiarme por ser un horario tan masificado edito la reseña meses después cada vez está más masificado hay tanto volumen de gente que con la pandemia lo veo hasta inseguro,3,Fecha de edición: Hace 5 años
169,tienen mucho morro han mandado un correo el mismo que el año pasado y con las mismas excusas de que vuelven a subir la tarifa mensual 2€ es el único gimnasio que conozco que sube la tarifa a final de año,3,Hace un año
235,el gym esta bien pero si tienes prisa tienes que salir 20min antes para que te validen el ticket del parking o no hay nadie o están atendiendo a alguien y tardan mucho tiempo deberían de automatizarlo de alguna manera porque se pierde demasiado tiempo,3,Hace 4 años
256,hola perdona que me meta en reseña pero busco un número de teléfono del gym y no encuentro es para pedir información no sé si alguien me puede indicar el precio mes para apuntarse gracias perodn por meterme en reseña,3,Hace un año
257,siempre hay algo estropeado llevan meses arreglando las duchas en el vestuario de los hombres el baño de vapor está a una temperatura excesiva no se puede aguantar ni 5 minutos,3,Hace 4 años
281,gimnasio grande nuevo no llega a 3 años aparatos de musculación bien conservados y variados los monitores podrían estar más atentos a los clientes a la hora de realizar los ejercicios las instalaciones tienen zona de entrenamiento exterior también y sauna en relación al precio para ser una cadena que empezó low cost es caro y cada año lo suben más,3,Hace 3 años
296,me gustaba este gimnasio mucho lo que no entiendo es por qué se cambiaron las clases de spinning lo de spin peak y spin free es horrible y ya no están los mejores monitores una pena,3,Hace 3 años
320,demasiada gente por la tarde no me gusta que se quiten la mascarilla para correr llevamos con unas luces parpadeando desde diciembre y todavía no las han arreglado las clases son hasta de 30 personas,3,Fecha de edición: Hace 3 años
321,todo perfecto la única queja que tengo es la subida injustificada del precio de la cuota mensual,3,Hace 7 meses
338,está bien el gimnasio y los empleados son muy amables sin embargo el baño demasiadas veces está sucio,3,Hace 3 años
344,siempre hay alguna maquina rota y suele llenarse como es normal por la tarde por lo de mas bastante limpio,3,Hace 3 años
359,la sauna de vapor casi nunca funciona por lo demás está todo muy bien,3,Hace un año
376,la gente que trabaja en este gym es súper despistada te pueden ver que necesitas algo y se hacen los locos,3,Hace un año
382,el de valdebernardo estaba mejor gestionado duchas con cambios de temperatura repentinos baño turco averiado de vez en cuando masificación,3,Hace 3 años
407,me inscribi y pague 40 y tantos euros para que despues de diez dia me cobraran otra mensualidad vaya robo,3,Hace 3 años
413,no funcionan los baños se necesita una solución ya,3,Hace 10 meses
415,como instalaciones es un jaleo todo el rato para arriba y abajo pero no están mal la hora a la que fuí demasiada gente con lo cual mucho tiempo perdido pero no esta mal,3,Hace 5 años
457,instalaciones increíbles a un precio asequible en su contra he de decir que está un poco masificado,3,Hace 2 años
461,me parece muy fuerte que no tengáis un numero de telef para preguntar por un nie perdido,3,Hace un año
467,muchos aparatos y muy nuevos pero sin monitores en la sala de entrenamiento para ayudar es un fallo que comete el gimnasio,3,Hace 4 años
480,no me gusta que el parking sea de pago porque hora y media que es gratuita se esfuma enseguida,3,Hace 3 años
483,máquinas nuevas y bien cuidado lo único malo es que hay muchísima gente,3,Hace 3 años
497,me gusta mucho pero le hace falta limpieza en las duchas,3,Hace 4 años
542,buen gimnasio pero demasiada gente,3,Fecha de edición: Hace 2 años
564,muchas personas y la limpieza tienen que hacer mejor,3,Hace 2 años
568,solo fui a por información no muy atentos,3,Hace un año
578,no se respeta la distancia de seguridad mucho postureo,3,Hace 4 años
580,yo pondria mas clases y dustintas la verdad,3,Hace 4 años
604,las duchas son individualales o comunes??,3,Hace 3 años
